ID,User ID,Game Level,Player Score,"Player Score Loss 
(Low Quality)",Player Score Loss (Tardiness),AI Score,"AI Score Loss 
(Low Quality)","AI Score Loss 
(Tardiness)",User Strategy Index,User Strategy Description
9c01bbbe-9ddb-4fed-be96-7eaf2f6fe36f,1fb9daf2-058a-45d3-8f35-a6c558f5df1b,2,76.11%,23.89%,0.00%,84.17%,15.83%,0.00%,101101,
ec9fac10-dc46-495a-b890-1c43634514cd,3e6a9f41-18ab-47c6-8a9c-f94d84632a80,6,67.87%,25.51%,6.18%,54.61%,21.80%,23.71%,101110,
8c74e5c9-cba3-415d-bea8-df0e29a716a2,1fb9daf2-058a-45d3-8f35-a6c558f5df1b,3,83.37%,15.96%,0.67%,82.47%,7.42%,9.89%,101000,
10adbcd3-ac6c-4205-ae78-ea6007512862,43cdb4dc-5c85-420f-8969-010ce78b93f8,5,82.13%,15.06%,3.26%,77.64%,3.82%,16.63%,101010,
70222cfd-cad2-4a4e-ae54-374325b5dcef,6a8a21ad-df32-4bd9-b239-a3607419ab86,3,75.06%,23.60%,2.47%,87.42%,7.87%,3.15%,100010,
14262393-6ac9-4bd6-8b35-c90285bdc288,c18ac1d7-e00f-42d3-bfad-dcddad312709,2,91.67%,7.50%,0.83%,87.78%,12.22%,0.83%,101110,
e7c4ccf3-f86f-4a56-b3a9-c6514512f87a,1fb9daf2-058a-45d3-8f35-a6c558f5df1b,4,66.97%,24.27%,6.52%,72.36%,16.63%,9.89%,101100,
d0aaa890-5f93-4762-b708-b665fe042491,000a62d8-5e6d-4532-ad99-af8a92a7e7f3,4,66.29%,19.78%,10.11%,65.84%,16.85%,12.36%,100010,
91c51666-79e2-478c-95f3-a3ff24ecda37,14ed04e9-6a06-4267-9170-a47fc55f03db,2,91.11%,8.89%,0.00%,94.44%,5.56%,0.00%,101110,
554aae1c-f15e-4068-9070-d2fe75944e21,1fb9daf2-058a-45d3-8f35-a6c558f5df1b,5,63.03%,15.84%,23.03%,66.63%,7.75%,24.72%,101110,
bdcea1d1-2998-4f6a-8ed3-2509fb11615e,6a8a21ad-df32-4bd9-b239-a3607419ab86,4,69.66%,27.19%,3.15%,66.29%,20.90%,10.56%,100010,
b42102c4-4c49-424b-83b0-0b96c3d0588f,14ed04e9-6a06-4267-9170-a47fc55f03db,2,86.94%,12.22%,1.67%,86.11%,11.11%,2.78%,101110,
27e6f534-c2b7-4d34-bdef-8632a7b5363e,c18ac1d7-e00f-42d3-bfad-dcddad312709,2,97.22%,2.78%,0.00%,87.78%,9.72%,2.50%,101110,
9c0a978b-ef21-4930-89af-f9cabe366f94,28ae9a54-e2ad-42ff-b6f6-441d466bf03f,1,65.56%,25.56%,10.56%,98.89%,1.11%,0.00%,100010,
db871469-6019-414b-89f1-3a2ea7fd38c1,c18ac1d7-e00f-42d3-bfad-dcddad312709,3,95.28%,2.02%,2.02%,84.49%,7.87%,7.19%,101110,
